,product,brand,type,image,highlight,description,spec,delivery,related
https://bot-hive.com/product/abb-irb-6650s-9039,['ABB - IRB 6650S-90/3.9'],['ABB Robotics UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/annotation-2020-06-12-163129_73d4baf0-acb9-11ea-9b02-f175ef4b737c_meta_508x489.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe IRB 6650S is the shelf robot form of the Power Robot family which offers a unique working envelope. It is capable of a full vertical and horizontal stroke motion, as well as an increased forward and downward reach. This combination offers new possibilities to robot functions in numerous task areas. \nIRB 6650S is reliable with a high production up time, fast with short cycle times and strong with maximized utilization. Its main task are machine tending, material handling, spot welding and die casting.']","{'Payload': '90kg', 'Reach': ' 3900cm', 'Axis': ' 6', 'Weight': ' 2275kg', 'Repeatability': ' 0.15mm', 'Speed': ' 130mm/s'}",[],"{'0': 'https://bot-hive.com/product/abb-irb-6650s-20030', '1': 'https://bot-hive.com/product/abb-irb-6650s-12535', '2': 'https://bot-hive.com/product/abb-irb-6640-235255', '3': 'https://bot-hive.com/product/abb-irb-8700-800350'}"
https://bot-hive.com/product/abb-irb-6620-5,['ABB - IRB 6620'],['ABB Robotics UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/irb-6200_9e96ccf0-ab39-11ea-9f24-e321f4588e53_meta_393x601.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe IRB 6620 is a flexible and agile robot with a large working envelope.. The robot combines four robots in one: floor-standing, tilted or inverted mounted and shelf capability. This compact robot opens up opportunities for new flexible and improved line concepts. Functions that all help saving floor space, creating higher robot density and shorter lines.']","{'Payload': '150kg', 'Reach': ' 2200cm', 'Axis': ' 6', 'Weight': ' 900kg', 'Repeatability': ' 0.05mm', 'Speed': ' 123mm/s'}",[],"{'0': 'https://bot-hive.com/product/abb-irb-7600-340280', '1': 'https://bot-hive.com/product/abb-irb-1410', '2': 'https://bot-hive.com/product/abb-irb-6650s-20030', '3': 'https://bot-hive.com/product/abb-irb-6650s-9039'}"
https://bot-hive.com/product/abb-irb-460-11024,['ABB - IRB 460-110/2.4'],['ABB Robotics UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/9iba242817_400x400_68434a00-d0c0-11ea-9739-57916f3d8746.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nHigh speed robotic palletizer \nLeading ABB’s palletizing offering is the compact IRB 460 - the fastest palletizing robot in the world. The IRB 460 is perfect for end-of-line palletizing and bag palletizing task. The 4-axis robot is the fastest of its kind and its small footprint makes it ideal for fitting into existing packing lines.'],"{'Payload': '110kg', 'Reach': ' 2400cm', 'Axis': ' 4', 'Weight': ' 925kg', 'Repeatability': ' 0.2mm', 'Speed': ' 19375mm/s'}",[],"{'0': 'https://bot-hive.com/product/abb-flexloader-irb-2600-12185', '1': 'https://bot-hive.com/product/abb-flexloader-irb-2600-20165', '2': 'https://bot-hive.com/product/abb-irb-1410', '3': 'https://bot-hive.com/product/abb-flexloader-irb-1600-10145'}"
https://bot-hive.com/product/abb-irb-1200-707,['ABB - IRB 1200-7/0.7'],['ABB Robotics UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/1200_64e8b420-abaf-11ea-806b-75983c26b17f_meta_348x576.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nIRB 1200\nA compact, flexible, fast and functional small industrial robot.\nHave you ever wanted to make your machines 15% smaller and 10% faster? ABB’s IRB 1200 allows you to do exactly that. Specifically, it addresses the needs of material handling and machine tending tasks for flexibility, ease of use, compactness and short cycle times while still maintaining large working envelopes. \nAs a family of robots, the IRB 1200 comes in two variants which can handle a wide range of task. Both IRB 1200 variants can be mounted at any angle and come with IP 40 protection as standard. Both variants are available with Food Grade Lubrication, SafeMove2, Foundry Plus 2 and Clean Room option. The 700 mm reach variant can carry a payload of up to 7 kg, while the longer reach 900 mm variant can carry up to 5 kg of payload.']","{'Payload': '7kg', 'Reach': ' 700cm', 'Axis': ' 6', 'Weight': ' 52kg', 'Repeatability': ' 0.02mm', 'Speed': ' 372mm/s'}",[],"{'0': 'https://bot-hive.com/product/irb-6400r30-100', '1': 'https://bot-hive.com/product/abb-flexloader-irb-2600-12185', '2': 'https://bot-hive.com/product/abb-irb-1100-4058', '3': 'https://bot-hive.com/product/abb-irb-460-11024'}"
https://bot-hive.com/product/techman-tm12m-integrator,['Techman - TM12M (Integrator)'],['Absolute Robotics'],['Collaborative Robots'],['https://files.bot-hive.com/images/bothive/tile_f53a6210-b9fd-11ea-becc-933a94a601eb.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nThe ultimate solution for integrating collaborative robots with automation transfer vehicles. Applicable for mobile stacking and mobile machine tending.'],"{'Payload': '12kg', 'Reach': ' 1300cm', 'Axis': ' 6', 'Weight': ' 33.3kg', 'Repeatability': ' 0.1mm', 'Speed': ' 160mm/s'}","['Price:\n£££', 'Shipped from: GB']","{'0': 'https://bot-hive.com/product/techman-tm5-900-integrator', '1': 'https://bot-hive.com/product/techman-tm14-integrator', '2': 'https://bot-hive.com/product/techman-tm5-700-integrator-1', '3': 'https://bot-hive.com/product/techman-tm14m-integrator-1'}"
https://bot-hive.com/product/smart-robotics-logishelf,['Smart Robotics - LogiSHELF'],['Smart Robotics GmbH'],['Base Frame For Mobile Robots'],['https://files.bot-hive.com/images/bothive/c8b3921513811a7e1b5ec36d1be72cec09869936_bfc0b420-33d5-11eb-b40b-45640400daa6.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nWith logiSHELF Frame consists of logiCARRY with a basic framework with binder to transport customized buildups.'],"{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",[],"{'0': 'https://bot-hive.com/product/smart-robotics-logishelf-individual-frame', '1': 'https://bot-hive.com/product/smart-robotics-logibase-ext', '2': 'https://bot-hive.com/product/smart-robotics-logibase', '3': 'https://bot-hive.com/product/item-base-frame'}"
https://bot-hive.com/product/smart-robotics-logibase,['Smart Robotics - LogiBASE'],['Smart Robotics GmbH'],['Base Frame For Mobile Robots'],['https://files.bot-hive.com/images/bothive/925b801c1b2cd421a990d777b8c67782150fa760_6a36bba0-33d3-11eb-8b7a-9bc7099436dc.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nWith logiBASE you have a basic frame to buildup every variant of constructions.'],"{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",[],"{'0': 'https://bot-hive.com/product/smart-robotics-logishelf-individual-frame', '1': 'https://bot-hive.com/product/smart-robotics-logibase-ext', '2': 'https://bot-hive.com/product/smart-robotics-logishelf', '3': 'https://bot-hive.com/product/item-base-frame'}"
https://bot-hive.com/product/smart-robotics-logibase-ext,['Smart Robotics - LogiBASE Ext.'],['Smart Robotics GmbH'],['Base Frame For Mobile Robots'],['https://files.bot-hive.com/images/bothive/857b5778a807e6054b3d05e742bc9c7181b5c97d_b97c8180-33d4-11eb-9d1d-052ec12bdc1d.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nWith logiBASE you have a basic frame to buildup every variant of constructions.'],"{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",[],"{'0': 'https://bot-hive.com/product/smart-robotics-logishelf-individual-frame', '1': 'https://bot-hive.com/product/smart-robotics-logibase', '2': 'https://bot-hive.com/product/smart-robotics-logishelf', '3': 'https://bot-hive.com/product/item-base-frame'}"
https://bot-hive.com/product/denso-hm-4aa0,['Denso - HM-4AA0'],['DENSO Robotics'],['SCARA'],['https://files.bot-hive.com/images/bothive/csm_hm-4070-3-e2_g_de4d94fb55_34f64c90-dd6a-11ea-8451-bb54ded9339d.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nThe HM Series have the longest arm reach and carry the greatest payload among 4-axis (SCARA) robots. The lineup offers a variety of models.'],"{'Payload': '20kg', 'Reach': ' 1000cm', 'Axis': ' 4', 'Weight': ' 56kg', 'Repeatability': ' 0.025mm', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/denso-hm-4a70', '1': 'https://bot-hive.com/product/denso-hm-40a0', '2': 'https://bot-hive.com/product/denso-hs045a1', '3': 'https://bot-hive.com/product/denso-hs035a1-1'}"
https://bot-hive.com/product/schunk-mpg-plus-32-1,['Schunk - MPG-Plus 32'],['Schunk Intec Ltd'],['2 Finger Gripper'],['https://files.bot-hive.com/images/bothive/csm_im0005829_1886fda68e_c1e302b0-e788-11ea-a74a-4d70d850659b.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\n2-finger parallel gripper with smooth roller guides of the base jaws with 25% higher gripping force\nGripping and moving of small to medium-sized work pieces in low contaminated environments, such as assembly, testing, laboratory and pharmaceutical industry']","{'Payload': '0.43kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 0.1kg', 'Repeatability': ' 0.02mm', 'Speed': ' --'}","['Delivery Times: 1 week', 'Price:\n£££']","{'0': 'https://bot-hive.com/product/schunk-mpg-plus-20', '1': 'https://bot-hive.com/product/schunk-mpg-plus-16-is', '2': 'https://bot-hive.com/product/schunk-mpg-plus-64-is-1', '3': 'https://bot-hive.com/product/schunk-mpg-plus-16-10'}"
https://bot-hive.com/product/savioke-relay-logistics,['Savioke - Relay (Logistics)'],['Savioke'],['Industrial Mobile Robots'],['https://files.bot-hive.com/images/bothive/20161017_11_80d9b680-2e5d-11eb-b7e4-bf5725a7685e.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nIncrease Productivity. Decrease Waste. Boost Quality\nRelay is the safest, most secure autonomous indoor delivery robot for the busy, dynamic environments of logistics and manufacturing. A single-piece-flow solution, Relay autonomously navigates through busy work areas and down narrow aisles, even those too tight for mobile racks, to deliver higher employee satisfaction and more efficient and uniform workflow.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/fetch-robotics-freight1500', '1': 'https://bot-hive.com/product/hikrobot-mr-f3-3000-ahi-1', '2': 'https://bot-hive.com/product/mir-500-1', '3': 'https://bot-hive.com/product/hikrobot-f2-50dc-hi-10'}"
https://bot-hive.com/product/swisslog-autostore-r5-red-line-2,['Swisslog - AutoStore R5 (Red Line)'],['Swisslog'],['Industrial Mobile Robots'],['https://files.bot-hive.com/images/bothive/as_stills_brand_320-with-logo_internet_13137_c800c800-28b8-11eb-a3fc-93ac87cc625d.jpeg?d=232x193&c=cover'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nSpace saving storage and order picking system for small parts\nDo you want to store a large number of small parts while increasing storage density and remaining very flexible? AutoStore is a highly efficient robotized storage and order processing solution that integrates easily into existing buildings.'],"{'Payload': '30kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Shipped from: CH'],"{'0': 'https://bot-hive.com/product/mir-250-reseller', '1': 'https://bot-hive.com/product/bionichive-squid', '2': 'https://bot-hive.com/product/waypoint-robotics-vector-hd', '3': 'https://bot-hive.com/product/tima-tima-logistic'}"
https://bot-hive.com/product/robotiq-2f-140-adaptive,['Robotiq - 2F-140 Adaptive'],['Robotiq'],['2 Finger Gripper'],['https://files.bot-hive.com/images/bothive/robotiq-2f-140-400x400_c1ac2cf0-f82b-11ea-8f67-a1b5c20da017.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nThe 2F-85 and 2F-140 Adaptive Grippers are the grippers for collaborative robots. Use them to accomplish a complete lineup of task with a fast time-to-production—no robotics expertise required. They’re key to a highly flexible and reliable robotic cell.'],"{'Payload': '2.5kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 1kg', 'Repeatability': ' 0.6mm', 'Speed': ' --'}",['Delivery Times: 4 weeks'],"{'0': 'https://bot-hive.com/product/robotiq-2f-85-adaptive', '1': 'https://bot-hive.com/product/robotiq-hand-e-adaptive-gripper', '2': 'https://bot-hive.com/product/schunk-mpg-plus-20', '3': 'https://bot-hive.com/product/onrobot-rg6'}"
https://bot-hive.com/product/fanuc-m-410ic110,['Fanuc - M-410iC/110'],['FANUC UK'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/introduction-image_d9914c60-cd74-11ea-98a3-0307f70e4c78.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe heavy-duty end-of-line palletising specialist for loads weighing up to 700 kg\nThe palletiser – designed specifically for the job, this series increases throughput on palletising and handling task. With a capacity up to 700 kg and a reach up to 3.1 m, the 4 or 5 axis M-410 parallel link robot series is ideal for handling medium to heavy payloads. FANUC was one of the first robot suppliers to develop a series specifically designed for palletising and draws on years of experience in end of line automation.']","{'Payload': '110kg', 'Reach': ' 2403cm', 'Axis': ' 4', 'Weight': ' 1030kg', 'Repeatability': ' 0.05mm', 'Speed': ' 208.75mm/s'}",[],"{'0': 'https://bot-hive.com/product/fanuc-m-10id10l', '1': 'https://bot-hive.com/product/fanuc-m-10id12', '2': 'https://bot-hive.com/product/fanuc-m-710ic45m', '3': 'https://bot-hive.com/product/fanuc-m-410ib140h'}"
https://bot-hive.com/product/mir-500-reseller-1,['MiR 500 (Reseller)'],['RARUK Automation'],['Industrial Mobile Robots'],['https://files.bot-hive.com/images/bothive/07bf5422bf9d18b1b3efd4e5e46a67e9fb3af92a_493f63c0-d645-11ea-a022-6dd664759c96.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nMiR500 is designed to automate the transportation of pallets and heavy loads across industries. With a total payload of 500 kg, and a footprint of 1350x920 mm, MiR500 is a large, powerful and robust collaborative, autonomous mobile robot.']","{'Payload': '500kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 226kg', 'Repeatability': ' --', 'Speed': ' --'}",['Price:\n£££'],"{'0': 'https://bot-hive.com/product/mir-1000-reseller', '1': 'https://bot-hive.com/product/mir-250-reseller', '2': 'https://bot-hive.com/product/mir-200-reseller-1', '3': 'https://bot-hive.com/product/mir-100-reseller'}"
https://bot-hive.com/product/mir-100,['MiR 100'],['Mobile Industrial Robots'],['Industrial Mobile Robots'],['https://files.bot-hive.com/images/bothive/403df9d7758d8c18cafe754bbc27d3a85d3050d7_1cf58f00-cb3d-11ea-8ac0-6bd070034d97.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nAutomate transport tasks and focus on higher value activities\nA new generation of autonomous mobile robots is changing the way businesses move materials inside their facilities—and the MiR100 is leading the charge. With extraordinary flexibility and smart technology, the MiR100 can be used in nearly any situation where employees are spending time pushing carts or making deliveries. Now you can automate these tasks, so employees can focus on higher value activities.']","{'Payload': '100kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 70kg', 'Repeatability': ' --', 'Speed': ' --'}","['Delivery Times: 6 weeks', 'Price:\n£££']","{'0': 'https://bot-hive.com/product/mir-500-1', '1': 'https://bot-hive.com/product/mir-200', '2': 'https://bot-hive.com/product/mir-250', '3': 'https://bot-hive.com/product/mir-hook-200-tm'}"
https://bot-hive.com/product/fanuc-m-900ib330l-2,['Fanuc - M-900iB/330L'],['FANUC UK'],['Spot Welding Robots'],['https://files.bot-hive.com/images/bothive/m-900ib330l_aa83cb50-c28e-11ea-aa91-bffb0cb0fc28.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nHeavy payload, 6 axis robot, high structural rigidity and a wide envelope for large part handling:\nAt between 150 and 700 kg, the M-900 6 axis robot series offers one of the highest payloads on the market. Designed to handle single or multiple heavy parts and available with reaches extending to 3.7 m, the M-900 series is ideal for almost every task and processes. Varied mounting options make this series very versatile and enable it to make maximum use of the work envelope.']","{'Payload': '330kg', 'Reach': ' 3203cm', 'Axis': ' 6', 'Weight': ' 1780kg', 'Repeatability': ' 0.1mm', 'Speed': ' 101mm/s'}",[],"{'0': 'https://bot-hive.com/product/nachi-sra100b-01', '1': 'https://bot-hive.com/product/nachi-sra166l-1', '2': 'https://bot-hive.com/product/nachi-sra100hb-01', '3': 'https://bot-hive.com/product/nachi-sra100hs-01-1'}"
https://bot-hive.com/product/schunk-co-act-egp-c-40-n-n-urid,['Schunk - Co-Act EGP-C 40-N-N-URID'],['Schunk Intec Ltd'],['Co-Act Gripper'],['https://files.bot-hive.com/images/bothive/csm_im0023323_1f6237ec95_4d182140-edd7-11ea-9afc-d387a5bad676.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nElectric 2-finger parallel gripper certified for collaborative operation with actuation via 24 V and digital I/O. Gripping and moving small and medium-sized work pieces with flexible force in collaborative operation in the areas of assembly, electronics and machine tool loading.']","{'Payload': '0.7kg', 'Reach': ' --', 'Axis': ' --', 'Weight': ' 0.59kg', 'Repeatability': ' 2mm', 'Speed': ' --'}",['Delivery Times: 1 week'],"{'0': 'https://bot-hive.com/product/schunk-co-act-egp-c-50-n-n-urek', '1': 'https://bot-hive.com/product/schunk-co-act-egp-c-64-n-n-keti', '2': 'https://bot-hive.com/product/schunk-co-act-egp-c-64-n-n-fcr7', '3': 'https://bot-hive.com/product/schunk-co-act-egp-c-64-n-n-urek'}"
https://bot-hive.com/product/moley-robotics-moley-kitchen,['Moley Robotics - Moley Kitchen'],['Moley Robotics'],['Food Preparation Robots'],['https://files.bot-hive.com/images/bothive/moley-robotics-automated-kitchen_lr_047b1960-5718-11eb-a29f-2931a78864e9.jpeg?d=232x193&c=cover'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe Moley kitchen is a fully automated kitchen unit, consisting of cabinets, robotic arms and hands, a recipe recording system, a connected GUI screen with access to a library of recipes, and a full set of kitchen appliances and equipment that have been optimized for both for robot and human use.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/miso-robotics-flippy-roar', '1': 'https://bot-hive.com/product/xrobotics-xpizza-2'}"
https://bot-hive.com/product/nachi-mc20-01,['Nachi - MC20-01'],['Nachi Robotics Systems Inc.'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/mc20_5fbbd800-e3a0-11ea-8471-7550a00c1d2d.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nIs a compact, powerful, very fast robot with excellent reach. Top in the class. Available with 20Kg payload as MC20 and 10kg payload with extended forearm version MC10L. Light weight body (only 220kg) allows upside down installations.']","{'Payload': '20kg', 'Reach': ' --', 'Axis': ' 6', 'Weight': ' 220kg', 'Repeatability': ' 0.06mm', 'Speed': ' 305mm/s'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/nachi-mr20-02', '1': 'https://bot-hive.com/product/nachi-mc12s-01', '2': 'https://bot-hive.com/product/nachi-mr35-01', '3': 'https://bot-hive.com/product/nachi-mc35-01-1'}"
https://bot-hive.com/product/yaskawa-mh24,['Yaskawa - MH24'],['Yaskawa Motoman'],['Articulated Robots'],['https://files.bot-hive.com/images/bothive/mh24_700_bdbc9790-fe9f-11ea-ae8e-ed38c264a3a0.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nFrom compact and powerful designs to heavy-duty, extended-reach models, MH-series robots meet a wide range of task requirements. From small parts assembly and machine tending, to heavy-duty handling of large castings and weldments, and more, the MH-series family can benefit a variety of industries.']","{'Payload': '24kg', 'Reach': ' --', 'Axis': ' 6', 'Weight': ' 268kg', 'Repeatability': ' 0.06mm', 'Speed': ' 322.83mm/s'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/yaskawa-mpl100ii', '1': 'https://bot-hive.com/product/yaskawa-gp8', '2': 'https://bot-hive.com/product/yaskawa-mpk50-2', '3': 'https://bot-hive.com/product/yaskawa-mhjf'}"
https://bot-hive.com/product/bettaroe-robotics-sweeping-robot,['Bettaroe Robotics - Sweeping Robot'],['Bettaroe Robotics'],['Cleaning Robots'],['https://files.bot-hive.com/images/bothive/zametace-250-1_fdff11d0-6172-11eb-98d4-55c53388ae4c.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nIt can sweep and vacuum smooth floors, but also carpeted floors. The robot adjusts the height of the brushes to different floor heights, thus always guaranteeing the best result. The robot is suitable for industrial production and storage operations, as well as for hospitals, shopping centers or offices. The sweeping robot is autonomous and, after programming, moves independently and avoids obstacles.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 2 weeks'],"{'0': 'https://bot-hive.com/product/bettaroe-robotics-wendy-washing-robot', '1': 'https://bot-hive.com/product/avidbots-neo-1'}"
https://bot-hive.com/product/sick-mrs1000-3d-lidar-sensors,['SICK - MRS1000 - 3D LiDAR Sensors'],['SICK'],"['LIDAR, Laser Scanners & Rangefinders']",['https://files.bot-hive.com/images/bothive/im0074117_a7a74420-5fd2-11eb-babe-197f13fadbba.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nScanning in three dimensions\n3D LiDAR sensors (3D laser scanners as well) detect their environment nearly gap-free, regardless of whether the objects move or not. That is why 3D LiDAR sensors are ideally suited for tasks such as collision protection on automated vehicles or the scanning of objects.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",[],"{'0': 'https://bot-hive.com/product/sick-tim5xx-2d-lidar-sensors', '1': 'https://bot-hive.com/product/sick-tim2xx-2d-lidar-sensors', '2': 'https://bot-hive.com/product/sick-ld-3d-lidar-sensors', '3': 'https://bot-hive.com/product/sick-tim3xx-2d-lidar-sensors'}"
https://bot-hive.com/product/oceanalpha-mc120,['OceanAlpha - MC120'],['OceanAlpha'],['USVs (Unmanned Surface Vehicles)'],['https://files.bot-hive.com/images/bothive/1_d05f3da0-0884-11eb-b303-558db18e70d3.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}",['Product Description\nWater Surface Cleaning Robot with a revolutionary water surface cleaning solution.'],"{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 8 weeks'],"{'0': 'https://bot-hive.com/product/oceanalpha-m40-1', '1': 'https://bot-hive.com/product/oceanalpha-sl20', '2': 'https://bot-hive.com/product/oceanalpha-sl40', '3': 'https://bot-hive.com/product/oceanalpha-me120'}"
https://bot-hive.com/product/fetch-robotics-hmishelf,['Fetch Robotics - HMIShelf'],['Fetch Robotics'],['Industrial Mobile Robots'],['https://files.bot-hive.com/images/bothive/fetch-robotics-hmishelf-600x600_3c3f7570-06d3-11eb-b427-577b3c308dfa.png?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nHMIShelf provides autonomous transport in virtually any facility. Deploy in just hours and carries a wide range of bins, totes and packages with its fully configurable and customizable shelving system.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 4 weeks'],"{'0': 'https://bot-hive.com/product/fetch-robotics-freight1500', '1': 'https://bot-hive.com/product/fetch-robotics-cartconnect', '2': 'https://bot-hive.com/product/fetch-robotics-tagsurveyor', '3': 'https://bot-hive.com/product/fetch-robotics-freight100'}"
https://bot-hive.com/product/clearpath-robotics-husky-ugv,['Clearpath Robotics - HUSKY UGV'],['Clearpath Robotics'],['USVs (Unmanned Surface Vehicles)'],['https://files.bot-hive.com/images/bothive/husky-essentials-pack_c6a67fc0-fde5-11ea-bca9-71aa1cca8bd4.jpeg?d=232x193&c=cover'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nHusky is a medium sized robotic development platform. Its large payload capacity and power systems accommodate an extensive variety of payloads, customized to meet research needs. Stereo cameras, LIDAR, GPS, IMUs, manipulators and more can be added to the UGV by our integration experts. The Husky’s rugged construction and high-torque drivetrain can take your research where no other robot can go. Husky is fully supported in ROS with community driven Open Source code and examples.']","{'Payload': '--', 'Reach': ' --', 'Axis': ' --', 'Weight': ' --', 'Repeatability': ' --', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/clearpath-robotics-moose-ugv', '1': 'https://bot-hive.com/product/clearpath-robotics-warthog-ugv', '2': 'https://bot-hive.com/product/clearpath-robotics-jackal-ugv', '3': 'https://bot-hive.com/product/clearpath-robotics-heron'}"
https://bot-hive.com/product/nachi-es12-8535-01,['Nachi - ES12- 8535-01'],['Nachi Robotics Systems Inc.'],['SCARA'],['https://files.bot-hive.com/images/bothive/es12_802d19b0-e228-11ea-a4d8-1976612b2082.jpeg?d=232x193&c=contain'],"{'Launched in': '', 'Units Sold': '', 'Servicing (Months)': '', 'Programming Level': ''}","['Product Description\nThe ES SCARA Robot Series consists of two models ranging from 6Kg to 12Kg payload capacity. The ES robot models offer a combination of high-speed, exceptionally high repeatability and mechanical rigidity.  Multiple ES06 models are available ranging from 350mm to 550mm horizontal reach and 200mm to 340mm vertical stroke.  This high speed robot series is excellent for material handling, assembly, electronics, and palletizing task.']","{'Payload': '12kg', 'Reach': ' 850cm', 'Axis': ' 4', 'Weight': ' 69kg', 'Repeatability': ' 0.015mm', 'Speed': ' --'}",['Delivery Times: 6 weeks'],"{'0': 'https://bot-hive.com/product/nachi-es12-5535-01-1', '1': 'https://bot-hive.com/product/nachi-es06-5520-01', '2': 'https://bot-hive.com/product/nachi-ez03f4-02-5525-1', '3': 'https://bot-hive.com/product/nachi-es12-7045-01'}"
